[12-Oct-2023 02:46:05 UTC] PHP Parse error:  syntax error, unexpected '*' in /Applications/MAMP/htdocs/ad5_lesson/index.php on line 27
[13-Oct-2023 07:12:17 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 96
[13-Oct-2023 07:12:17 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 96
[13-Oct-2023 07:12:18 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 96
[13-Oct-2023 07:12:32 UTC] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 96
[13-Oct-2023 07:14:10 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:14 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:14 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:15 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:15 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:15 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:15 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:15 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:15 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:16 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:16 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:16 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:16 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:16 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:16 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:17 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:21 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 07:14:27 UTC] PHP Fatal error:  Cannot use isset() on the result of an expression (you can use "null !== expression" instead) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 23
[13-Oct-2023 13:56:21 UTC] PHP Parse error:  syntax error, unexpected '全て' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 47
[13-Oct-2023 13:56:25 UTC] PHP Parse error:  syntax error, unexpected '全て' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 47
[13-Oct-2023 13:56:26 UTC] PHP Parse error:  syntax error, unexpected '全て' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 47
[13-Oct-2023 13:56:26 UTC] PHP Parse error:  syntax error, unexpected '全て' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 47
[15-Oct-2023 05:11:25 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:11:32 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:11:33 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:11:34 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:11:39 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:13:46 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:13:49 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:18:25 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:18:29 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:21:43 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:21:47 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:21:56 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:23:43 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:23:47 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[15-Oct-2023 05:23:52 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 16
[16-Oct-2023 06:24:04 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:26 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:34 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:38 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:39 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:39 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:40 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:41 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:41 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:41 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:41 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:41 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:41 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:42 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:42 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:42 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:42 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:42 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:42 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:42 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:42 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:42 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:42 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:42 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:42 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:43 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:43 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:43 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:43 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:43 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:43 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:43 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:43 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:43 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:43 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:46 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:46 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:46 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:47 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:47 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:47 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:49 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:50 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:24:56 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:00 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:01 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:02 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:03 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:04 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:04 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:04 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:05 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:05 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:06 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:11 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:12 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:13 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:17 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:18 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:25:20 UTC] PHP Parse error:  syntax error, unexpected 'endif' (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 165
[16-Oct-2023 06:35:32 UTC] PHP Parse error:  syntax error, unexpected '<', expecting elseif (T_ELSEIF) or else (T_ELSE) or endif (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 117
[16-Oct-2023 06:35:37 UTC] PHP Parse error:  syntax error, unexpected '<', expecting elseif (T_ELSEIF) or else (T_ELSE) or endif (T_ENDIF) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 117
[16-Oct-2023 06:41:36 UTC] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 163
[19-Oct-2023 05:49:00 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:01 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:01 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:01 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:01 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:02 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:02 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:49:02 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:05 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:06 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:06 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:06 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:07 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:08 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:10 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:10 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:10 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:10 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:11 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:11 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[20-Oct-2023 06:34:05 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:05 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:06 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:06 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:06 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:15 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:19 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:20 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:20 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:20 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:35:22 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[23-Oct-2023 06:54:17 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:33 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:34 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:35 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:35 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:36 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:38 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:47 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:55:16 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:56:21 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:56:22 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:56:23 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
